cart_id;product_id;quantity
1;23;2
1;1;2
1;59;1
1;64;2
2;82;1
2;5;1
2;1;2
3;30;1
3;782;1
4;519;1
4;162;1
4;1184;3
5;1;1
5;214;1
5;1445;1
5;4;1
5;38;1
5;48;1
5;175;1
6;22;1
6;2;3
6;1;3
7;41;1
7;1244;1
7;993;2
8;2015;1
8;2;1
8;9;3
8;196;1
8;33;1
9;3;1
9;30;1
9;49;2
9;6175;1
9;90;1
9;1;1
9;4;2
10;1;1
10;251;1
10;2;1
10;107;1
10;6;1
10;24;1
11;4995;2
11;62;1
12;6652;1
12;8;1
12;1;1
12;5093;1
13;5;1
13;1;1
13;126;1
13;1540;2
13;157;3
13;371;1
14;14;1
14;3336;1
14;273;2
14;534;1
15;503;1
15;3;1
15;21;1
15;38;1
15;1;1
16;43;1
16;30;1
16;2;1
16;1;2
16;5;1
16;139;1
16;1315;2
16;4639;1
17;5626;1
17;1;1
18;1;1
18;3091;1
18;246;3
18;250;1
19;167;1
19;2843;1
19;40;1
19;201;2
19;1;1
20;30;1
20;48;2
20;81;1
20;1;1
20;39;1
20;87;1
20;2;1
21;135;1
21;4;1
21;1569;1
22;10;2
22;4;1
22;44;1
22;1;1
23;15;1
23;16;1
23;8;1
23;1;1
24;52;1
24;74;1
24;8;2
24;2392;2
25;346;2
26;15;1
26;6;1
26;55;1
26;7;1
26;1;1
26;27;2
27;9;3
27;302;1
27;5;1
27;87;1
27;3555;1
27;8;1
28;207;1
28;2;2
28;192;1
28;330;1
29;1;1
29;4077;1
29;4066;1
29;14;1
29;4;1
29;207;1
29;29;1
30;1861;1
30;576;1
30;581;3
30;219;1
30;2113;1
31;1;2
31;141;1
31;4;1
31;221;1
31;6589;3
31;1703;1
32;2;3
32;132;1
32;1;1
32;157;1
33;1;1
33;2;1
34;3;1
34;5409;1
34;1;2
34;26;2
34;23;1
35;17;1
35;190;1
35;92;1
36;116;1
36;1048;1
36;9;2
36;67;1
36;2;1
36;660;1
37;10;1
37;2;1
37;1;1
37;616;1
37;21;2
37;5;1
37;476;1
37;199;1
38;1;1
38;5;1
39;1;1
39;253;2
39;1444;3
40;2;1
40;1504;1
40;5;2
40;5728;1
41;9;3
41;10;1
41;98;1
41;54;2
41;3593;1
41;3;1
42;3;2
42;21;3
43;6;1
43;2826;2
43;4162;1
43;4869;2
44;20;1
44;18;1
45;12;1
45;3;1
46;1;1
